commentId,videoId,authorChannelId,likeCount,publishedAt
z12bznuw5kj0zhorp04ccpdpmtzaubdg50s,Bml8KwCmob8,UCTGr-08uBYI6oHS2Sz3VRAw,0,10/03/2017 19:45:02
z13zidfoqmrszhequ04chzaygqf5tfl4rzk0k,w2jtOFfiF80,UCf7dT7B13DNGu6R7HidZkcQ,0,07/03/2017 03:50:20
z13vwx3wtpnqsz35104chrwjqv3fwbr4pzk0k,w2jtOFfiF80,UCqFlnvxZncQFPkJqcDWF_Pg,0,20/02/2017 17:34:35
z13hfrt53zysjpfii04cidoiounajdug15g,NcA_j23HuDU,UCBaqxyQgreHk8PhSwqzp-zQ,0,11/03/2017 13:08:13
z12evjmpspftixplk22nsnwgmtvdfrjkx,NcA_j23HuDU,UC_Ti5rg0hvZOFARHMJF8dFw,0,10/03/2017 22:28:56
z13uuf4j1yaqezoq404cjfjhow2vipoht3c,IQwMCQFgQgo,UCfcKVUbaFgf2Z0nTQxZG4zA,0,04/03/2017 22:18:10
z13zvf0o3smdhn30m22zvpgqbnbozj5aj04,IQwMCQFgQgo,UCzXUflTZ-w3hirdhBkLANJQ,0,13/11/2016 06:09:15
z122fxgpdtmuylna004cfhg4vznrzbbigds,cQtYlkwR8lM,UC-9UhqfgYgz7lJBo0M_jOIQ,0,13/03/2017 21:13:25
z12fcvqwqna4jnkiq04cglfhqlazc5ogr4g,cQtYlkwR8lM,UC_coGb9ByeVOyVw19HrnQdQ,0,10/03/2017 04:29:43
z123srcipnaksf5hc04cinqwsqzjx1lw15g,voxfqkrO5ww,UCOIwLMbWrc6ckt1Y_6rj7ZA,0,04/03/2017 17:30:09
z12vfl0qzsy0it50b23lvlrpxwa4wnfsd,voxfqkrO5ww,UC_qtKGQ-z8IucxkNJP9SEjw,0,04/03/2017 01:50:53
z13qsz5rmungwdo3h23ssp3z0uqkfdrea,XzCgVltuzEk,UCNx9lMZLYtz1QNLa6HCQv9A,0,27/02/2017 22:06:47
z13ustoh5sflz1wf4234yptbrwvkjbcy004,XzCgVltuzEk,UCKhs512SRVHMGrRBYTDb8Hw,0,26/02/2017 05:35:56
z13firzw1m3adxwrx04cdf5hlwafh5rglw40k,apumpVGBpP8,UCJC7rW7r8qxUjD8c1FDkoug,0,21/02/2017 14:59:07
z12di5vzfs31sz1gp04cf3uriqn0tvxawms0k,apumpVGBpP8,UCXaibRTmHmDgE057ijR6pEQ,0,20/02/2017 15:03:13
z123wrkjllrxvjodh23rfxrqwyaidp31j,poL7l-Uk3I8,UCRzPhLJvcb0YaAmsNxnBwFA,0,11/03/2017 00:21:23
z12kz3e4asqhvfanw220d5rjgrzdvv3wx04,poL7l-Uk3I8,UCoJYzu7GnVk4lTJUYhphnUw,0,08/03/2017 01:02:36
z12xjtky1sbrdb5ei22jyfpxpmy0ybbkg,6UsHHOCH4q8,UCEdIOhZcC7La-1vkdk67Ehg,1,14/03/2017 00:29:37
z13qspex3raxshx3d234irrj4ofdydjgc04,6UsHHOCH4q8,UCa2HuFynEEoQf0NgH2pgBsQ,0,13/03/2017 15:41:11
z12xh53jquujv5usy22awbgjflmgu120j,3FCioWz7aps,UCxkPJ6m8m5IKNlSKgu8vk2A,0,12/03/2017 11:18:41
z13btfvpaxqxxjs1423mjnfinoahvht0d,3FCioWz7aps,UCJIO4BIREUBVT-3an2lYDAQ,0,04/03/2017 04:40:23
z12qtvzpktjpebpxk04cela55pv0y1y4r20,We1IvUe6KLo,UCeu79LTOUN2Y4KKVs9a5N_Q,0,14/03/2017 00:58:09
z12sx3fr0wqhf5k0d22jij5pryfpupcju04,We1IvUe6KLo,UCzre4YJbvWK2kq4yljj0N_Q,0,13/03/2017 18:38:43
z13phvegiluqejedi23bgteqtkajinqhl04,UkBvsCMxrNU,UCslXHDoepI2tDpNrzOZl_GQ,0,23/02/2017 18:40:22
z12sezir4t2gwdidk22pybgauryczxqgu04,UkBvsCMxrNU,UCdn-GxxOhvGshvETyaM7bFw,0,16/02/2017 19:35:06
z13vupvw4pnhwnlyp04cjvba1nf3jrxy2fg,gdQCtWlhx90,UC1RVLBCGI_qHJnr91dvvM3Q,0,13/03/2017 05:52:47
z13etrszzoecivf5z04cg5dhgvq5tpcxbsw0k,gdQCtWlhx90,UCIfyiyNyXAJrnqWphYSOjiQ,0,31/01/2017 16:16:31
z12af5epfprpi3ant22merto2xuitrpey,8q7esuODnQI,UCU0qITiH5ctYPvdR44IVlBA,2,03/09/2016 10:53:52
z13bhrzg0kn3e1sgi04cfvnr1luex5opxyo0k,8q7esuODnQI,UCy7r4iLvsd6ulAJ9rU8E8RA,3,17/05/2016 02:05:08
z12vuzajune2fp1po04cjrcjnkvru3z5on00k,Kye2oX-b39E,UCKQupYY6HSXHU80a0e11tbA,0,13/03/2017 23:32:05
z13cghxgltjlvhxsr220wp2zppihe3h3l,Kye2oX-b39E,UCnXv_Ep15f8zJZiqBW1n0uQ,0,13/03/2017 19:53:52
z13mujqgaqaowrfd022zhxkzprudhrh4004,nJ24vcyJxDs,UCaxC3Aw0jCxBXmsn86H_ccQ,0,26/02/2017 23:37:05
z123ej5p2qnqtbcay04cczb53xupgttj5ws0k,nJ24vcyJxDs,UCljTDbZbunYqZBn5srVx8Sw,0,13/11/2016 16:23:03
z12ustc4ny2fs3atz22nxlgaaoqzg134w04,Dh9munYYoqQ,UCiK5E92qliP0LKg7xGMGg1Q,0,13/03/2017 04:29:43
z12vuj15vrf2uz1di224efvyhrm3g5jsx,Dh9munYYoqQ,UC_u1rTaCUVb_vh8oUfuPwBA,0,28/02/2017 03:47:49
z123elcjqxn1unbjt04chn15gpmaslqrgmg0k,JOCtdw9FG-s,UC5nRmwdOpUOoLNtq1cYUMIw,0,14/03/2017 12:37:50
